[16:0],[16:1],[16:2],[16:3],[16:4],[16:5],[16:6],[2:99],[2:102],[2:105],[2:108],[2:111],[2:114],[2:117],[11:1],[11:3],[11:5],[11:7],[11:9],[11:11],[0:81]
F1_GAP,F2_GAP,F3_GAP,F4_GAP,F5_GAP,F6_GAP,F7_GAP,F1_SUM_FORCE,F2_SUM_FORCE,F3_SUM_FORCE,F4_SUM_FORCE,F5_SUM_FORCE,F6_SUM_FORCE,F7_SUM_FORCE,F2_BD_FBK,F3_BD_FBK,F4_BD_FBK,F5_BD_FBK,F6_BD_FBK,F7_BD_FBK,H_REAL
26697,15026,9590,6393.5,4332.5,3557,2973.5,14251.5,16253.2,15156.7,13840.6,13341.8,11674.1,8936.28,1954.02,3863.3,4024.53,5839.29,5391.86,2692.3,2.70092
26697,15026,9590,6393.5,4332.5,3557,2973.5,14251.5,16253.2,15156.7,13840.6,13341.8,11674.1,8936.28,1951.57,3860.91,4020.84,5832.34,5396.76,2676.59,2.70092
26696.3,15027,9592.1,6398.4,4329.7,3557.35,2975.25,14251.5,16253.2,15156.7,13840.6,13341.8,11674.1,8936.28,1945.43,3856.66,4020.35,5831.2,5393.82,2678.8,2.70092
26696,15027.5,9593,6400.5,4328.5,3557.5,2976,14231.7,16237.8,15119.4,13827.4,13313.2,11623.5,8912.11,1946.17,3855.89,4022.32,5837.33,5394.56,2709.97,2.7009
26696,15027.5,9593,6400.5,4328.5,3557.5,2976,14231.7,16237.8,15119.4,13827.4,13313.2,11623.5,8912.11,1938.8,3856.07,4020.11,5843.32,5397.25,2708.49,2.7009
26696,15027.5,9593,6400.5,4328.5,3557.5,2976,14231.7,16237.8,15119.4,13827.4,13313.2,11623.5,8912.11,1938.07,3856.91,4022.81,5847.72,5410.51,2700.39,2.7009
26696,15027.5,9593,6400.5,4328.5,3557.5,2976,14231.7,16237.8,15119.4,13827.4,13313.2,11623.5,8912.11,1933.65,3855.99,4015.69,5849.15,5411.25,2698.68,2.7009
26697.8,15026.5,9594.05,6402.6,4327.8,3555.05,2976.35,14231.7,16237.8,15119.4,13827.4,13313.2,11623.5,8912.11,1938.8,3854.79,4018.88,5857.72,5405.85,2699.41,2.7009
26698.5,15026,9594.5,6403.5,4327.5,3554,2976.5,14244.9,16231.2,15068.8,13785.6,13207.8,11575.2,8898.93,1938.31,3852.74,4023.05,5866.74,5399.71,2704.57,2.69867
26698.5,15026,9594.5,6403.5,4327.5,3554,2976.5,14244.9,16231.2,15068.8,13785.6,13207.8,11575.2,8898.93,1935.61,3853.79,4023.54,5869.97,5402.65,2715.61,2.69867
26698.5,15026,9594.5,6403.5,4327.5,3554,2976.5,14244.9,16231.2,15068.8,13785.6,13207.8,11575.2,8898.93,1930.7,3850.36,4024.04,5869.13,5404.13,2711.19,2.69867
26698.5,15026,9594.5,6403.5,4327.5,3554,2976.5,14244.9,16231.2,15068.8,13785.6,13207.8,11575.2,8898.93,1928.74,3848.71,4022.32,5869.98,5403.64,2717.58,2.69867
26698.2,15027,9596.25,6402.8,4329.6,3554.35,2976.15,14244.9,16231.2,15068.8,13785.6,13207.8,11575.2,8898.93,1922.11,3848.58,4020.6,5871.51,5396.52,2713.65,2.69867
26698,15027.5,9597,6402.5,4330.5,3554.5,2976,14280,16272.9,15020.5,13812,13300,11603.8,8890.14,1922.36,3846.26,4020.85,5875.44,5397.01,2735.49,2.6958
26698,15027.5,9597,6402.5,4330.5,3554.5,2976,14280,16272.9,15020.5,13812,13300,11603.8,8890.14,1921.38,3846.47,4018.39,5876.15,5403.88,2760.04,2.6958
26698,15027.5,9597,6402.5,4330.5,3554.5,2976,14280,16272.9,15020.5,13812,13300,11603.8,8890.14,1927.51,3844.19,4021.34,5872.44,5404.62,2764.7,2.6958
26698,15027.5,9597,6402.5,4330.5,3554.5,2976,14280,16272.9,15020.5,13812,13300,11603.8,8890.14,1925.8,3841.11,4020.11,5864.89,5394.31,2764.7,2.6958
26697.7,15020.5,9601.55,6402.15,4330.15,3555.2,2977.05,14280,16272.9,15020.5,13812,13300,11603.8,8890.14,1928,3840.49,4019.62,5864.3,5389.4,2785.07,2.6958
26697.5,15017.5,9603.5,6402,4330,3555.5,2977.5,14262.5,16316.9,14952.4,13801,13339.6,11627.9,8936.28,1931.93,3838.5,4018.64,5862.15,5390.87,2804.71,2.69493
26697.5,15017.5,9603.5,6402,4330,3555.5,2977.5,14262.5,16316.9,14952.4,13801,13339.6,11627.9,8936.28,1938.31,3836.03,4017.65,5862.06,5391.86,2811.82,2.69493
26697.5,15017.5,9603.5,6402,4330,3555.5,2977.5,14262.5,16316.9,14952.4,13801,13339.6,11627.9,8936.28,1935.86,3835.23,4014.46,5863.36,5391.86,2816,2.69493
26697.5,15017.5,9603.5,6402,4330,3555.5,2977.5,14262.5,16316.9,14952.4,13801,13339.6,11627.9,8936.28,1934.14,3828.9,4020.11,5872.63,5395.78,2824.34,2.69493
26697.5,15018.9,9607.35,6400.95,4327.2,3555.5,2976.45,14262.5,16316.9,14952.4,13801,13339.6,11627.9,8936.28,1930.46,3826.83,4020.6,5874.29,5405.85,2840.05,2.69493
26697.5,15019.5,9609,6400.5,4326,3555.5,2976,14222.9,16277.3,14897.5,13752.7,13262.7,11603.8,8969.24,1932.18,3828.69,4021.09,5872.85,5414.68,2841.28,2.69409
26697.5,15019.5,9609,6400.5,4326,3555.5,2976,14222.9,16277.3,14897.5,13752.7,13262.7,11603.8,8969.24,1929.48,3829.44,4019.86,5871.83,5412.96,2839.31,2.69409
26697.5,15019.5,9609,6400.5,4326,3555.5,2976,14222.9,16277.3,14897.5,13752.7,13262.7,11603.8,8969.24,1929.48,3829.68,4024.53,5874.93,5411.74,2854.53,2.69409
26697.5,15019.5,9609,6400.5,4326,3555.5,2976,14222.9,16277.3,14897.5,13752.7,13262.7,11603.8,8969.24,1930.21,3827.54,4018.88,5870.53,5411.98,2853.79,2.69409
26697.5,15019.5,9610.05,6402.95,4324.25,3557.25,2974.95,14222.9,16277.3,14897.5,13752.7,13262.7,11603.8,8969.24,1935.61,3826.08,4022.56,5869.54,5416.89,2854.77,2.69409
26697.5,15019.5,9610.5,6404,4323.5,3558,2974.5,14253.7,16321.3,14842.5,13765.9,13339.6,11570.8,8971.44,1939.79,3822.77,4024.77,5864.09,5418.85,2865.82,2.68832
26697.5,15019.5,9610.5,6404,4323.5,3558,2974.5,14253.7,16321.3,14842.5,13765.9,13339.6,11570.8,8971.44,1940.52,3819.98,4026.24,5859.07,5425.73,2869.75,2.68832
26697.5,15019.5,9610.5,6404,4323.5,3558,2974.5,14253.7,16321.3,14842.5,13765.9,13339.6,11570.8,8971.44,1939.29,3819.12,4023.79,5851.93,5425.23,2877.11,2.68832
26697.5,15019.5,9610.5,6404,4323.5,3558,2974.5,14253.7,16321.3,14842.5,13765.9,13339.6,11570.8,8971.44,1944.2,3818.58,4023.3,5844.04,5420.33,2889.38,2.68832
