 [16:0] ,[16:1],[16:2],[16:3],[16:4],[16:5],[16:6],[2:99],[2:102],[2:105],[2:108],[2:111],[2:114],[2:117],[11:1],[11:3],[11:5],[11:7],[11:9],[11:11],[0:81]
F1_GAP,F2_GAP,F3_GAP,F4_GAP,F5_GAP,F6_GAP,F7_GAP,F1_SUM_FORCE,F2_SUM_FORCE,F3_SUM_FORCE,F4_SUM_FORCE,F5_SUM_FORCE,F6_SUM_FORCE,F7_SUM_FORCE,F2_BD_FBK,F3_BD_FBK,F4_BD_FBK,F5_BD_FBK,F6_BD_FBK,F7_BD_FBK,Thickness(mm)
26699.5,15052,9589,6414,4341.5,3561,2992,14053.7,16057.6,15257.8,13713.1,13188,11498.3,8817.63,2044.1,4010.41,3991.39,5881.75,5436.03,2418.63,2.71
26699.5,15052,9589,6414,4341.5,3561,2992,14053.7,16057.6,15257.8,13713.1,13188,11498.3,8817.63,2040.66,4006.76,3987.47,5881.66,5429.16,2407.34,2.71
26699.1,15050.4,9582.2,6412,4342.3,3563.4,2994,14053.7,16057.6,15257.8,13713.1,13188,11498.3,8817.63,2036.24,4005.36,3986.97,5881.66,5423.76,2402.19,2.71
26699,15050,9580.5,6411.5,4342.5,3564,2994.5,14053.7,16053.2,15306.2,13772.5,13286.9,11533.4,8828.61,2032.81,4002.75,3989.43,5871.63,5425.23,2416.42,2.70786
26699,15050,9580.5,6411.5,4342.5,3564,2994.5,14053.7,16053.2,15306.2,13772.5,13286.9,11533.4,8828.61,2028.39,3998.32,3986.97,5860.83,5431.62,2436.3,2.70786
26699,15050,9580.5,6411.5,4342.5,3564,2994.5,14053.7,16053.2,15306.2,13772.5,13286.9,11533.4,8828.61,2031.33,3996.36,3986.97,5856.13,5428.18,2431.15,2.70786
26699,15050,9580.5,6411.5,4342.5,3564,2994.5,14053.7,16053.2,15306.2,13772.5,13286.9,11533.4,8828.61,2024.46,3992.27,3989.92,5855.81,5415.91,2423.3,2.70786
26699.4,15050,9582.1,6408.3,4338.5,3562.8,2990.9,14053.7,16053.2,15306.2,13772.5,13286.9,11533.4,8828.61,2024.95,3989.74,3991.39,5859.62,5411.49,2429.19,2.70786
26699.5,15050,9582.5,6407.5,4337.5,3562.5,2990,14053.7,16073,15306.2,13757.1,13275.9,11537.8,8830.81,2018.57,3985.86,3985.5,5867.32,5412.47,2431.15,2.70813
26699.5,15050,9582.5,6407.5,4337.5,3562.5,2990,14053.7,16073,15306.2,13757.1,13275.9,11537.8,8830.81,2019.55,3983.93,3986.97,5875.34,5411.98,2426.98,2.70813
26699.5,15050,9582.5,6407.5,4337.5,3562.5,2990,14053.7,16073,15306.2,13757.1,13275.9,11537.8,8830.81,2019.06,3982.05,3982.07,5883.54,5406.09,2422.31,2.70813
26699.5,15050,9582.5,6407.5,4337.5,3562.5,2990,14053.7,16073,15306.2,13757.1,13275.9,11537.8,8830.81,2020.04,3982.83,3983.54,5888.92,5409.04,2417.41,2.70813
26698.7,15046.4,9583.7,6408.3,4338.3,3564.5,2987.6,14053.7,16073,15306.2,13757.1,13275.9,11537.8,8830.81,2019.55,3984.79,3984.03,5888.13,5417.38,2410.04,2.70813
26698.5,15045.5,9584,6408.5,4338.5,3565,2987,14060.3,16059.8,15216.1,13730.7,13231.9,11584,8863.77,2017.1,3983.45,3984.03,5888.42,5417.38,2422.81,2.70853
26698.5,15045.5,9584,6408.5,4338.5,3565,2987,14060.3,16059.8,15216.1,13730.7,13231.9,11584,8863.77,2017.1,3978.94,3981.08,5886.23,5417.38,2421.09,2.70853
26698.5,15045.5,9584,6408.5,4338.5,3565,2987,14060.3,16059.8,15216.1,13730.7,13231.9,11584,8863.77,2018.08,3974.66,3980.1,5882.18,5409.53,2416.18,2.70853
26698.5,15045.5,9584,6408.5,4338.5,3565,2987,14060.3,16059.8,15216.1,13730.7,13231.9,11584,8863.77,2011.45,3971.58,3980.1,5880.73,5412.96,2402.93,2.70853
26698.1,15048.7,9588.8,6411.7,4339.3,3564.6,2985.4,14060.3,16059.8,15216.1,13730.7,13231.9,11584,8863.77,2010.23,3968.83,3980.1,5877.26,5413.94,2413.23,2.70853
26698,15049.5,9590,6412.5,4339.5,3564.5,2985,14042.7,16035.6,15134.8,13763.7,13324.2,11575.2,8901.12,2001.88,3963.89,3977.16,5869.26,5416.89,2432.62,2.7068
26698,15049.5,9590,6412.5,4339.5,3564.5,2985,14042.7,16035.6,15134.8,13763.7,13324.2,11575.2,8901.12,2005.07,3964.29,3974.7,5866.17,5413.45,2441.95,2.7068
26698,15049.5,9590,6412.5,4339.5,3564.5,2985,14042.7,16035.6,15134.8,13763.7,13324.2,11575.2,8901.12,2001.14,3961.79,3972.25,5858.88,5406.58,2427.96,2.7068
26698,15049.5,9590,6412.5,4339.5,3564.5,2985,14042.7,16035.6,15134.8,13763.7,13324.2,11575.2,8901.12,2003.6,3954.19,3976.67,5848.72,5398.73,2432.38,2.7068
26698,15049.1,9598,6404.9,4335.9,3564.5,2981,14042.7,16035.6,15134.8,13763.7,13324.2,11575.2,8901.12,2003.11,3954.9,3979.12,5849.72,5395.78,2452.75,2.7068
26698,15049,9600,6403,4335,3564.5,2980,14049.3,16026.9,15106.2,13798.8,13258.3,11570.8,8938.48,2004.09,3957.35,3982.07,5851.26,5392.1,2465.27,2.70767
26698,15049,9600,6403,4335,3564.5,2980,14049.3,16026.9,15106.2,13798.8,13258.3,11570.8,8938.48,2003.11,3957.61,3980.59,5852.56,5387.19,2454.96,2.70767
26698,15049,9600,6403,4335,3564.5,2980,14049.3,16026.9,15106.2,13798.8,13258.3,11570.8,8938.48,2005.07,3959.66,3987.96,5850.08,5390.38,2452.26,2.70767
26698,15049,9600,6403,4335,3564.5,2980,14049.3,16026.9,15106.2,13798.8,13258.3,11570.8,8938.48,2006.54,3960.27,3989.43,5853.15,5393.33,2458.39,2.70767
26698.8,15049.8,9597.6,6401.4,4335.8,3564.5,2978.4,14049.3,16026.9,15106.2,13798.8,13258.3,11570.8,8938.48,2004.09,3962.04,3989.92,5864.2,5395.54,2468.7,2.70767
26699,15050,9597,6401,4336,3564.5,2978,14047.1,16031.3,15064.5,13805.4,13190.2,11489.5,8964.84,2004.09,3960.11,3995.56,5866.69,5389.16,2462.81,2.70891
26699,15050,9597,6401,4336,3564.5,2978,14047.1,16031.3,15064.5,13805.4,13190.2,11489.5,8964.84,2007.28,3958.48,3995.57,5864.29,5379.83,2457.9,2.70891
26699,15050,9597,6401,4336,3564.5,2978,14047.1,16031.3,15064.5,13805.4,13190.2,11489.5,8964.84,2007.04,3960.93,3994.83,5862.73,5372.71,2452.5,2.70891
26699,15050,9597,6401,4336,3564.5,2978,14047.1,16031.3,15064.5,13805.4,13190.2,11489.5,8964.84,2005.56,3965.05,3997.53,5863.16,5378.6,2448.58,2.70891
26699,15050.8,9599.4,6401.4,4337.2,3566.1,2975.6,14047.1,16031.3,15064.5,13805.4,13190.2,11489.5,8964.84,2003.84,3964.88,3997.53,5865.58,5383.51,2459.13,2.70891
26699,15051,9600,6401.5,4337.5,3566.5,2975,14075.7,16059.8,15033.7,13803.2,13313.2,11564.2,8940.67,2008.26,3961.05,3999.74,5865.94,5381.55,2457.9,2.70875
26699,15051,9600,6401.5,4337.5,3566.5,2975,14075.7,16059.8,15033.7,13803.2,13313.2,11564.2,8940.67,2008.02,3956.63,4001.21,5862.39,5383.51,2450.79,2.70875
26699,15051,9600,6401.5,4337.5,3566.5,2975,14075.7,16059.8,15033.7,13803.2,13313.2,11564.2,8940.67,2007.04,3956.12,4002.19,5859.52,5389.65,2435.57,2.70875
26699,15051,9600,6401.5,4337.5,3566.5,2975,14075.7,16059.8,15033.7,13803.2,13313.2,11564.2,8940.67,2006.54,3956.61,4001.46,5859.06,5394.31,2440.72,2.70875
26698.6,15049,9601.2,6403.5,4336.3,3566.1,2975,14075.7,16059.8,15033.7,13803.2,13313.2,11564.2,8940.67,2009.98,3955.12,4004.4,5858.09,5391.36,2465.27,2.70875
26698.5,15048.5,9601.5,6404,4336,3566,2975,14099.9,16119.1,15031.5,13792.2,13289.1,11557.6,8918.7,2009.98,3954.71,4003.17,5858.53,5385.96,2479.01,2.70755
26698.5,15048.5,9601.5,6404,4336,3566,2975,14099.9,16119.1,15031.5,13792.2,13289.1,11557.6,8918.7,2014.89,3955.64,4003.66,5866.36,5388.42,2462.81,2.70755
26698.5,15048.5,9601.5,6404,4336,3566,2975,14099.9,16119.1,15031.5,13792.2,13289.1,11557.6,8918.7,2013.66,3959.52,3998.26,5874.83,5396.03,2461.34,2.70755
26698.5,15048.5,9601.5,6404,4336,3566,2975,14099.9,16119.1,15031.5,13792.2,13289.1,11557.6,8918.7,2023.48,3959.64,3999.49,5874.42,5399.71,2484.9,2.70755
26698.1,15039.7,9601.9,6404,4334.8,3564.4,2972.6,14099.9,16119.1,15031.5,13792.2,13289.1,11557.6,8918.7,2019.31,3961.73,3999.49,5871.27,5395.29,2494.47,2.70755
26698,15037.5,9602,6404,4334.5,3564,2972,14141.6,16154.3,15011.7,13768.1,13218.8,11533.4,8931.88,2021.76,3959.85,3999.49,5873.45,5392.1,2491.28,2.70659
26698,15037.5,9602,6404,4334.5,3564,2972,14141.6,16154.3,15011.7,13768.1,13218.8,11533.4,8931.88,2012.93,3959.35,3998.02,5870.34,5394.8,2487.36,2.70659
26698,15037.5,9602,6404,4334.5,3564,2972,14141.6,16154.3,15011.7,13768.1,13218.8,11533.4,8931.88,2019.55,3957.49,3999.25,5866.15,5395.05,2491.77,2.70659
26698,15037.5,9602,6404,4334.5,3564,2972,14141.6,16154.3,15011.7,13768.1,13218.8,11533.4,8931.88,2018.82,3957.17,3997.04,5860.11,5386.21,2495.7,2.70659
26698,15039.9,9603.2,6403.2,4334.5,3561.2,2968.4,14141.6,16154.3,15011.7,13768.1,13218.8,11533.4,8931.88,2015.63,3953.87,3998.51,5855.6,5385.23,2498.65,2.70659
26698,15040.5,9603.5,6403,4334.5,3560.5,2967.5,14143.8,16209.2,15040.3,13823,13306.6,11546.6,8909.91,2009.98,3950.16,3994.34,5845.38,5387.93,2492.75,2.70604
26698,15040.5,9603.5,6403,4334.5,3560.5,2967.5,14143.8,16209.2,15040.3,13823,13306.6,11546.6,8909.91,2014.89,3947.45,4000.72,5839.45,5390.63,2496.19,2.70604
26698,15040.5,9603.5,6403,4334.5,3560.5,2967.5,14143.8,16209.2,15040.3,13823,13306.6,11546.6,8909.91,2013.91,3943.04,3999.25,5834.08,5382.28,2492.26,2.70604
